SCHOOLNAME,SCHOOLCODE,YEAR,LEVEL,TYPE,WARD,LAT,LON,FORTYFORTY,ENROLLMENT,ATRISKENROLLMENT,ENROLLMENT,SPECIALTY,PERPUPILMIN,STABILIZATION,SPED,ELL,ATRISK,INCOME
Aiton ES ,202,2015,es,Regular school,7,38.89700181,-76.93370092,TRUE,245,180,1791685,427280,349370,333690,1047375,134260,1409940,251125
Amidon-Bowen ES ,203,2015,es,Regular school,6,38.8795154,-77.0181253,TRUE,372,271,4436472,282720,550188,564324,1610388,238080,2003232,329592
Anacostia HS ,450,2015,hs,Regular school,8,38.87008406,-76.98307725,TRUE,774,612,9168030,50310,490716,363006,3735324,471366,4453524,581274
Ballou HS ,452,2015,hs,Vocational Shared Time,8,38.83938266,-77.00097526,TRUE,655,470,6575545,1131185,979880,955645,814165,183400,3479410,432300
Ballou STAY ,462,2015,hs,Alternative Education School,8,38.83938266,-77.00097526,FALSE,485,,5448490,450080,855540,958360,651840,420495,0,441350
Bancroft ES ,204,2015,es,Regular school,1,38.93431836,-77.04055344,FALSE,504,161,4588920,393624,909720,486360,2416680,251496,1242437,31248
Barnard ES ,205,2015,es,Regular school,4,38.94823095,-77.01777708,FALSE,605,268,4491520,866965,675785,478555,1018820,990385,2022328,442255
Beers ES ,206,2015,es,Regular school,7,38.86434984,-76.95560475,FALSE,435,259,4855035,637275,287970,397590,955260,587250,1940946,82215
Benjamin Banneker HS ,402,2015,hs,Magnet School,1,38.92383276,-77.02397697,FALSE,445,100,5217625,611430,161535,80100,2164035,27145,728000,320400
Brent ES ,212,2015,es,Regular school,6,38.88480121,-77.00145985,FALSE,363,20,3404577,616737,329967,134310,1105698,161172,141620,15609
Brightwood EC ,213,2015,campus,Regular school,4,38.96053573,-77.03068885,FALSE,635,291,7613015,57150,85725,228600,2116455,1430655,2037291,883920
Brookland EC @ Bunker Hill ,346,2015,campus,Regular school,5,38.94201247,-76.98499564,FALSE,232,106,1634440,231536,329440,403680,666536,396720,812066,52432
Browne EC ,404,2015,campus,Regular school,5,38.90259888,-76.97066706,TRUE,348,236,3514452,420384,309372,526872,1365900,359832,1773540,168432
Bruce-Monroe ES @ Park View ,296,2015,es,Regular school,1,38.9344141,-77.02118567,FALSE,470,255,3369430,775030,481280,799000,2311930,366600,1975995,292340
Burroughs EC ,220,2015,campus,Regular school,5,38.93350266,-76.97845637,FALSE,272,126,2091952,345168,40256,374544,1261536,545632,978894,308992
Burrville ES ,221,2015,es,Regular school,7,38.90056577,-76.92445918,FALSE,345,191,3850890,559245,599610,26220,367425,731745,1455993,209415
C.W. Harris ES ,247,2015,es,Regular school,7,38.88359883,-76.9261155,TRUE,279,194,2014659,344565,350424,165168,1283679,488529,1520378,404550
Capitol Hill Montessori @ Logan ,360,2015,campus,Regular school,6,38.89853031,-77.00256647,FALSE,330,33,3897300,294360,345510,282810,490050,779130,239646,206910
Cardozo EC ,454,2015,campus,Vocational Shared Time,1,38.92217286,-77.02847069,TRUE,717,462,6463755,798021,1358715,661074,2000430,246648,3358278,884061
CHOICE Academy ,947,2015,hs,Alternative Education School,5,38.9135031,-77.00677594,FALSE,10,,103190,18160,4450,10870,28160,20010,0,11980
Cleveland ES ,224,2015,es,Regular school,1,38.91514529,-77.02270718,FALSE,311,159,3165980,352052,538652,405233,394348,265905,1213647,85525
Columbia Heights EC ,442,2015,campus,Magnet School,1,38.92954477,-77.03585831,FALSE,1275,538,8945400,1821975,1454775,1202325,3675825,2204475,3924710,1874250
Coolidge HS ,455,2015,hs,Vocational Shared Time,4,38.96728457,-77.01957835,TRUE,410,239,3757650,80770,466580,352600,519880,733080,1723668,37720
Deal MS ,405,2015,ms,Regular school,3,38.95289674,-77.07519907,FALSE,1310,111,14785970,563300,2466730,1429210,3314300,3247490,877899,522690
Drew ES ,231,2015,es,Regular school,7,38.89599397,-76.91992701,TRUE,169,130,1203956,249782,12675,54587,528294,126074,956280,71318
Dunbar HS ,467,2015,hs,Regular school,5,38.90762655,-77.01269148,TRUE,625,411,5923750,1064375,133125,111875,1962500,1332500,3040578,549375
Eastern HS ,457,2015,hs,Vocational Shared Time,6,38.89040266,-76.97968429,FALSE,1021,609,11186076,1042441,5105,1295649,2268662,1190486,4639362,1466156
Eaton ES ,232,2015,es,Regular school,3,38.93272707,-77.06582114,FALSE,477,28,4333068,729333,335331,630117,1420983,418806,201152,532809
Eliot-Hine MS ,407,2015,ms,Regular school,6,38.89243149,-76.97897792,TRUE,270,191,2056320,18630,304290,33480,1248210,553230,1501642,48060
Ellington School of the Arts ,471,2015,hs,Magnet School,2,38.91344638,-77.07030757,FALSE,515,110,5076870,400670,846660,158620,938330,700915,843150,231235
Garfield ES ,238,2015,es,Regular school,8,38.85173338,-76.97080478,TRUE,276,213,2575908,209484,350796,245088,1300236,7176,1621356,6900
Garrison ES ,239,2015,es,Regular school,2,38.91390129,-77.02861256,FALSE,289,155,2952713,294202,26299,305762,368186,621639,1117395,317611
H.D. Cooke ES ,227,2015,es,Regular school,1,38.92394309,-77.03881058,TRUE,413,222,3728564,515837,794612,665343,436128,500969,1731822,218890
Hardy MS ,246,2015,ms,Regular school,2,38.91550903,-77.0686139,FALSE,400,108,4379200,36000,121200,195200,799200,491600,801360,413200
Hart MS ,413,2015,ms,Regular school,8,38.83773787,-76.99717875,TRUE,574,438,4284910,123984,718648,421316,2662786,1214584,3129510,727258
Hearst ES ,258,2015,es,Regular school,3,38.94072265,-77.07195522,FALSE,293,43,2186073,179609,149723,292707,1259021,41313,304569,68269
Hendley ES ,249,2015,es,Regular school,8,38.82898591,-76.99918485,FALSE,533,443,5522413,431730,726479,1008436,1845246,497822,3396038,246246
Houston ES ,251,2015,es,Regular school,7,38.90541532,-76.92994765,FALSE,282,191,3230592,420462,326274,206988,1117566,193170,1353044,185838
Hyde-Addison ES ,252,2015,es,Regular school,2,38.90801957,-77.06453782,FALSE,341,22,2840871,121055,481833,437162,1654191,180048,161876,23870
Incarcerated Youth Program ,480,2015,,,,,,FALSE,24,,255528,25104,41112,42936,88992,3072,0,18696
J.O. Wilson ES ,339,2015,es,Regular school,6,38.902758,-76.99658902,FALSE,462,224,4413486,224994,358512,667590,2213904,581658,1711360,343728
Janney ES ,254,2015,es,Regular school,3,38.94755042,-77.08099483,FALSE,674,8,6113180,1044700,60660,361938,1968080,1376982,57552,671304
Jefferson MS ,433,2015,ms,Regular school,6,38.87987093,-77.02291066,FALSE,307,192,2642349,563959,0,51883,373005,446685,1423296,291343
Johnson MS ,416,2015,ms,Regular school,8,38.85133691,-76.98370368,TRUE,283,215,3341947,442612,384880,264039,1198505,239701,1634000,207722
Kelly Miller MS ,421,2015,ms,Regular school,7,38.89331541,-76.93245515,TRUE,580,418,6098120,473280,697740,733700,931480,502860,3088184,709340
Ketcham ES ,257,2015,es,Regular school,8,38.86604269,-76.98362116,TRUE,318,247,3671946,250266,363792,65826,1402698,177762,1809028,318
Key ES ,272,2015,es,Regular school,3,38.92680184,-77.10052732,FALSE,393,11,3451326,153663,618582,216543,796218,732552,86746,154056
Kimball ES ,259,2015,es,Regular school,7,38.88308309,-76.95757271,TRUE,345,246,3847785,99705,208725,176640,1153680,778320,1728150,154560
"King, M.L. ES ",344,2015,es,Regular school,8,38.84244319,-76.99823899,TRUE,412,334,3632192,456084,336192,555788,1798792,158208,2586162,524888
Kramer MS ,417,2015,ms,Regular school,8,38.8712864,-76.9801713,TRUE,371,293,4050578,677075,264152,17808,657412,804699,2174353,198114
Lafayette ES ,261,2015,es,Regular school,4,38.96662755,-77.06803712,FALSE,700,24,5758200,352800,1263500,480900,2011800,1267700,168360,10500
Langdon EC ,262,2015,campus,Regular school,5,38.92470416,-76.97708185,FALSE,338,192,3239730,24336,653692,488410,432640,276146,1460352,293384
Langley ES ,370,2015,es,Regular school,5,38.91516879,-77.00588662,FALSE,291,167,3258618,213012,105342,261318,798795,548535,1331658,135315
LaSalle-Backus EC ,264,2015,campus,Regular school,4,38.95997214,-76.99988254,TRUE,357,207,2886345,647241,646170,267750,1107771,513009,1472805,25347
Leckie ES ,266,2015,es,Regular school,8,38.82819678,-77.01289191,FALSE,402,212,2829678,253662,136278,540690,538680,409638,1566680,181704
Ludlow-Taylor ES ,271,2015,es,Regular school,6,38.89874414,-76.99649249,FALSE,336,125,3882816,293328,319200,266784,1428000,27888,968750,475104
Luke Moore Alternative HS ,884,2015,hs,Vocational Shared Time,5,38.93227638,-76.99231633,TRUE,382,,4495376,696386,596684,475972,937810,349148,0,532890
Malcolm X ES ,308,2015,es,Regular school,8,38.8416454,-76.98339857,TRUE,218,166,1826840,161102,323294,85020,1043566,494860,1324348,113142
Mamie D. Lee ,265,2015,campus,Special Education school,5,38.95251344,-77.00722496,FALSE,62,33,733522,67952,38564,92628,172732,84072,263076,76384
Mann ES ,273,2015,es,Regular school,3,38.93429231,-77.08782619,FALSE,299,2,2975349,68172,319631,276874,1033643,621322,14720,131859
Marie Reed ES ,284,2015,es,Regular school,1,38.91911214,-77.04082224,FALSE,391,139,3027904,175950,672129,44574,1529201,603313,1032631,506736
Maury ES ,274,2015,es,Regular school,6,38.89218519,-76.9886575,FALSE,362,72,2831564,714588,630242,255210,814500,653772,542160,485442
McKinley Tech EC ,458,2015,campus,Magnet School,5,38.91522012,-77.00412244,FALSE,910,345,8022560,1166620,1389570,531440,4111380,2071160,2619585,270270
Miner ES ,280,2015,es,Regular school,6,38.89737602,-76.98290432,FALSE,412,297,3972092,105060,473800,471740,1068316,121952,2213541,294992
Moten ES ,285,2015,es,Regular school,8,38.856656,-76.98294368,TRUE,400,319,4525200,553600,53200,129200,1728000,267600,2247674,515600
Murch ES ,287,2015,es,Regular school,3,38.95293352,-77.07007921,FALSE,693,25,5323626,1142757,681912,270270,2328480,398475,188925,315315
Nalle ES ,288,2015,es,Regular school,7,38.88595442,-76.93079651,TRUE,380,274,3142980,750120,412680,487540,1779920,849680,1997734,53200
Noyes EC ,290,2015,campus,Regular school,5,38.92517798,-76.99184288,TRUE,308,172,2343880,553784,96096,425656,692384,745976,1300836,109648
Orr ES ,291,2015,es,Regular school,8,38.87179716,-76.97448402,TRUE,372,268,2865144,473556,734328,602640,1247688,87420,2052076,238080
Oyster-Adams Bilingual ,292,2015,campus,Regular school,3,38.92359583,-77.05720337,FALSE,657,44,5004369,782487,912573,758178,2829042,9855,308572,628092
Patterson ES ,294,2015,es,Regular school,8,38.82696636,-77.00848471,TRUE,374,290,4401232,194480,37026,520608,1137708,664224,2244890,373626
Payne ES ,295,2015,es,Regular school,6,38.88517068,-76.98498373,FALSE,279,152,3053376,343449,410967,315549,280674,298809,1168576,79794
Peabody ES ,301,2015,es,Regular school,6,38.89289632,-76.99985799,FALSE,229,16,1637808,364110,17633,377163,488457,158697,117056,298616
Phelps ACE HS ,478,2015,hs,Magnet School/Vocational Shared Time,5,38.90199202,-76.97189763,FALSE,354,166,3663192,385506,273288,638616,460554,86022,1261102,385152
Plummer ES ,299,2015,es,Regular school,7,38.8872402,-76.93993468,FALSE,434,335,4477144,813750,315518,762104,493024,344162,2401950,297290
Powell ES ,300,2015,es,Regular school,4,38.94153434,-77.03122742,FALSE,435,194,3275550,156600,839985,46545,747330,384540,1442390,618135
Randle Highlands ES ,316,2015,es,Regular school,7,38.87009174,-76.96435628,FALSE,328,212,3332480,558912,507744,507416,621888,216152,1654236,353584
Raymond EC ,302,2015,campus,Regular school,4,38.93581121,-77.02643266,FALSE,553,252,6587889,879270,419727,512631,1411256,743232,1944180,202951
Roosevelt HS ,459,2015,hs,Vocational Shared Time,4,38.94360856,-77.02777641,TRUE,432,301,4202064,30672,815616,336528,442800,299808,2208136,1728
Roosevelt STAY ,456,2015,,Vocational Shared Time,4,38.94360856,-77.02777641,FALSE,655,,7293425,1258910,957610,917655,2555810,440815,0,522690
Ross ES ,305,2015,es,Regular school,2,38.91239115,-77.03966214,FALSE,168,13,1635312,84336,169848,271488,825552,189168,102167,142800
Savoy ES ,307,2015,es,Regular school,8,38.86285199,-76.99360426,TRUE,419,306,3220015,276121,393022,504895,831296,923476,2394450,565231
School Without Walls EC,466,2015,campus,Magnet School,2,38.89812412,-77.04818647,FALSE,904,143,8230920,532456,115712,181704,3175752,1742008,1020734,566808
School-Within-School @ Goding ,175,2015,es,Regular School,6,38.89756498,-76.99318304,FALSE,243,19,2117502,43983,38151,425007,1169073,194400,138301,88452
Seaton ES ,309,2015,es,Regular school,6,38.9106187,-77.02488247,FALSE,278,143,3297636,367516,515968,267436,962714,68388,1108536,135664
Sharpe Health School ,312,2015,campus,Special Education School,4,38.94347466,-77.03046833,FALSE,67,34,635093,90517,101706,32294,103046,153028,259216,94403
Shepherd ES ,313,2015,es,Regular school,4,38.98460328,-77.03399523,FALSE,321,49,3529074,403176,154080,132573,932184,641037,368676,442980
Simon ES ,315,2015,es,Regular school,8,38.83598054,-77.000195,TRUE,310,236,3139680,208010,184450,171430,1393760,606670,1833012,239940
Smothers ES ,322,2015,es,Regular school,7,38.89355404,-76.93846864,TRUE,304,216,2205216,374528,165072,912,642960,134064,1518912,170544
Sousa MS ,427,2015,ms,Regular school,7,38.88389441,-76.95315884,FALSE,281,199,2291274,407731,227610,533619,727228,378507,1515584,59291
Stanton ES ,319,2015,es,Regular school,8,38.85927211,-76.96849023,TRUE,607,504,5129757,361772,713225,835232,1096242,518985,3605112,78910
Stoddert ES ,321,2015,es,Regular school,3,38.92304465,-77.0790738,FALSE,429,16,4681248,558558,134277,140283,2026596,616044,115632,133419
Stuart-Hobson MS ,428,2015,ms,Regular school,6,38.8962977,-77.00000438,FALSE,424,129,4976488,342592,735640,822136,1983048,1004456,921189,626248
Takoma EC ,324,2015,campus,Vocational Shared Time,4,38.97504287,-77.02279493,FALSE,458,213,5163492,791882,886230,633872,916000,912794,1514856,169002
Thomas ES ,325,2015,es,Regular school,7,38.90127897,-76.95211091,TRUE,435,324,3896295,439350,658590,286665,441090,773865,2329560,446745
Thomson ES ,326,2015,es,Regular school,2,38.90349634,-77.02843003,FALSE,280,116,2806720,397040,197120,532840,1223320,305480,904104,214480
Truesdell EC ,327,2015,campus,Regular school,4,38.95396869,-77.02507158,FALSE,483,257,5762190,104811,213486,839937,486864,1153404,1889721,380604
