SCHOOLNAME,SCHOOLCODE,LEVEL,TYPE,WARD,LAT,LON,ENROLLMENT,ATRISKPERCENT,ATRISKCOUNT,DEANOFSTUDENTS,ISSCOORDINATOR,GUIDANCECOUNSELOR,ATTENDCOUNSELOR,PSYCH,SOCIALWORKER,INTERVENTIONCOACH,ENGLISHTEACHER,MATHTEACHER,READINGTEACHER,RESOURCETEACHER,SCIENCETEACHER,SOCIALSTUDIESTEACHER,ARTTEACHER,HEALTHTEACHER,MUSICTEACHER,LANGUAGETEACHER,SPEDTEACHER,SPEDAIDE,BEHAVIORTECH,ASSTPRINCIPALINTERVENTION,READINGSPECIALIST,ASSTPRINCIPALLITERACY,PWPSTUDENTSATISFACTION,EXTENDEDDAY,MIDDLEGRADEACTIVITIES,ECR,OTHER,STABLIZATION,NEWHEIGHTS,READINGPARTNERS,ATRISKTOTAL
School Without Walls HS ,175,es,Regular School,6,38.89756498,-76.99318304,205,0.085,17,,,94600,,,,,94600,94600,,,,141900,,,,94600,,,,,,,90900,100000,28000,,,,,,739300
Aiton ES ,202,es,Regular school,7,38.89700181,-76.93370092,247,0.733,181,,,,,,,,,,,,,,,,,,,30900,,,,,24500,100000,,,,,,29200,184600
Amidon-Bowen ES ,203,es,Regular school,6,38.8795154,-77.0181253,342,0.728,249,,,,,,,,,,,,,,,,,,189300,30900,39000,,,,37200,100000,,,,,,29200,425600
Bancroft ES ,204,es,Regular school,1,38.93431836,-77.04055344,490,0.32,157,,,,,,,,,,,,,,,,,,,,,,,,50400,,,,,,,,50400
Barnard ES ,205,es,Regular school,4,38.94823095,-77.01777708,583,0.443,258,,,,,,,,,,,,,,,,,,,,,,94600,,60500,,,,,,,,155100
Beers ES ,206,es,Regular school,7,38.86434984,-76.95560475,422,0.595,251,,,,,,,,,,,,,,,,,,,,,,,,43500,,,,,,,,43500
Brent ES ,212,es,Regular school,6,38.88480121,-77.00145985,359,0.056,20,,,,,,,,,,,,,,,,,,,,,,,,36300,,,,,,,,36300
Brightwood EC ,213,campus,Regular school,4,38.96053573,-77.03068885,615,0.459,282,89400,,,,,,,,,,94600,94600,94600,,94600,,47300,,,,,,118700,63500,100000,28000,,,,,,825400
Burroughs EC ,220,campus,Regular school,5,38.93350266,-76.97845637,278,,,,46000,,,,47300,,,,,,,94600,,47300,,47300,,,,,,,27200,100000,28000,,,,,,437800
Burrville ES ,221,es,Regular school,7,38.90056577,-76.92445918,354,0.554,196,,,,,,,,,,,,,,,,,,,,39000,,,,34500,,,,,,,,73500
