SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
202,Aiton ES,-76.933700916,38.897001477,Elementary,es,4,7,TRUE,2015,0.7327935223,82,2,22,245,2643688.55942813,425637.9825,8516.35125,63926.876,107065.012786231,0,0,0,124500,30861,0,0,0,0,0,155361,3404195.78196436
203,Amidon-Bowen ES,-77.018125299,38.879515067,Elementary,es,3,6,TRUE,2015,0.7280701754,65,11,57,372,2953502.44490625,464623.715,47313.0625,63926.876,148243.863857858,0,0,0,137200,259122,0,0,0,0,0,396322,4073931.96226411
450,Anacostia HS,-76.983077254,38.870083725,High,hs,8,8,TRUE,2015,0.7909454061,0,3,227,774,5296931.375821,3231225.225,13247.6575,0,325529.65426097,0,0,0,293171,123444,0,0,97104,0,0,513719,9380652.91258197
452,Ballou HS,-77.000975263,38.839382331,High,hs,8,8,TRUE,2015,0.7168141593,0,2,208,655,4597757.49438413,3190220.15,8516.35125,0,293886.958174351,0,0,0,265087,30861,0,947100,80920,984894.017300256,0,2308862.01730026,10399242.9711087
462,Ballou STAY,-77.000975263,38.839382331,STAY,other,8,8,FALSE,2015,NA,0,0,38,485,2179758.42524812,473130.625,0,0,15675,0,0,0,237752,0,0,0,0,0,0,237752,2906316.05024812
204,Bancroft ES,-77.040553444,38.934318023,Elementary,es,3,1,FALSE,2015,0.3204081633,110,288,66,504,4219389.03139625,693064.295,1355447.17,119037.217,147982.570348833,0,0,0,50400,0,0,0,0,0,0,50400,6585320.28374508
205,Barnard ES,-77.01777708,38.948230613,Elementary,es,5,4,FALSE,2015,0.4425385935,144,204,87,605,4837863.52075,1272288.9575,882316.545,174147.558,252708.107102723,0,0,0,155126,0,0,0,0,0,0,155126,7574450.68835272
206,Beers ES,-76.95560475,38.864349505,Elementary,es,2,7,FALSE,2015,0.5947867299,99,3,104,435,3865476.64033,1442327.7,13247.6575,77704.46125,182920.791076071,0,0,0,43500,0,0,0,0,0,0,43500,5625177.25015607
402,Benjamin Banneker HS,-77.023976968,38.923832421,High,hs,9,1,FALSE,2015,0.2255813953,0,5,6,445,3000915.9130805,219933.67,21764.00875,0,111413.914855479,690480,0,0,163167,0,0,0,0,0,0,163167,4207674.50668598
212,Brent ES,-77.00145985,38.884800874,Elementary,es,4,6,FALSE,2015,0.0557103064,68,6,32,363,3219692.39592187,378504.5,25549.05375,0,8975,0,0,0,36300,0,0,0,0,0,0,36300,3669020.94967187
213,Brightwood EC,-77.030688846,38.960535392,Education Campus,campus,6,4,FALSE,2015,0.4585365854,87,401,68,635,4701623.17303,709695.9375,1639325.545,91482.0465,266578.877990008,0,0,0,825357,0,0,0,0,0,0,825357,8234062.58002001
404,Browne EC,-76.970667058,38.902598548,Education Campus,campus,6,5,TRUE,2015,0.6790830946,72,16,59,348,3518878.049875,840725.805,94626.125,50149.29075,151278.094989452,0,0,0,587335,133635,0,0,0,0,0,720970,5376627.36561445
296,Bruce-Monroe ES @ Park View,-77.021185666,38.934413761,Elementary,es,3,1,FALSE,2015,0.5419354839,101,313,52,470,4393460.38375375,567756.75,1402760.2325,91482.0465,201559.63945586,0,0,0,47000,0,0,0,0,0,0,47000,6704019.05220961
221,Burrville ES,-76.92445918,38.900565431,Elementary,es,4,7,FALSE,2015,0.5536723164,97,1,28,345,3212305.10693437,386808.5625,4731.30625,50149.29075,153445.40294059,0,0,0,34500,39009,0,0,0,0,0,73509,3880948.66937497
247,C.W. Harris ES,-76.926115499,38.883598497,Elementary,es,4,7,TRUE,2015,0.6951672862,55,2,75,279,2313040.74956562,1099691.8775,8516.35125,0,116601.167771239,0,0,0,222526,0,0,0,0,216672.06743477,0,439198.06743477,3977048.21352163
629,Capitol Hill Montessori,-77.002562701,38.898529974,Education Campus,campus,2,6,FALSE,2015,0.101,129,4,13,330,2621275.28321875,189252.25,17032.7025,0,7200,100000,0,0,636827,0,0,0,0,0,0,636827,3571587.23571875
454,Cardozo EC,-77.028470794,38.922172198,Education Campus,campus,8,1,TRUE,2015,0.6446402349,0,245,215,717,4779141.65661363,2772144.7525,1386128.59,23552,295187.342945034,0,0,0,1145124,407322,0,0,25000,0,0,1577446,10833600.3420587
947,CHOICE Academy,-77.006775952,38.913502755,Alternative,other,7,5,FALSE,2015,NA,0,2,6,27,735852.81205,141939.1875,0,0,15675,37000,0,0,10000,0,0,0,0,0,0,10000,940466.99955
224,Cleveland ES,-77.022707176,38.915144954,Elementary,es,3,1,FALSE,2015,0.5115511551,80,53,29,311,2712835.6750875,378504.5,189252.25,63926.876,131338.86183898,0,0,0,125726,0,0,0,0,20109.012576554,0,145835.012576554,3621693.17550303
442,Columbia Heights EC (CHEC),-77.035858309,38.929544434,Education Campus,campus,9,1,FALSE,2015,0.4218009479,0,367,131,1275,7435238.59080737,1645071.265,2301708.42,0,457040.218946521,360000,0,0,870601,0,0,0,52598,0,0,923199,13122257.4947539
455,Coolidge HS,-77.019578251,38.967284215,High,hs,9,4,TRUE,2015,0.5819861432,0,46,98,410,3197588.26386988,1759469.375,189252.25,0,187688.868568575,0,0,0,81460,117027,0,0,40460,121513.246985558,0,360460.246985558,5694459.00442401
405,Deal MS,-77.075199068,38.952896407,Middle,ms,7,3,FALSE,2015,0.0849358974,0,47,131,1310,7524534.1978775,1324765.75,189252.25,0,31200,0,2207738.8021225,0,874069,0,0,0,0,0,0,874069,12151560
231,Drew ES,-76.919927008,38.89599364,Elementary,es,2,7,TRUE,2015,0.7678571429,51,0,23,169,2142538.92353125,283878.375,0,36371.7055,72821.5471582462,45458.79,0,0,116900,0,0,0,0,0,0,116900,2697969.3411895
467,Dunbar HS,-77.014693861,38.908523215,High,hs,9,5,TRUE,2015,0.6576433121,0,3,157,625,4312839.24645487,1934695.485,13247.6575,0,272213.878662968,0,0,0,418344,94626,0,0,56644,0,0,569614,7102610.26761784
